报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),-0,-0.07,0.02,0.16,0.09,0.07,0.07,0.39,0.22,0.13,0.07,0.42,0.18,0.11,0.42,0.06,0.46,0.62,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,2.69,--,--,2.44,2.46,2.4,2.03,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,0.59,--,--,0.42,0.2,0.67,0.51,--,
主营业务收入(万元),79104,51807,29127,113213,79277,51098,27620,107347,71630,45978,23740,94893,63081,40334,89770,20268,91108,92903,77802,
主营业务利润(万元),46234,30820,17706,66869,49839,32218,17478,63389,43573,28318,15049,57543,39707,26241,54547,13174,52838,53951,43958,
营业利润(万元),-806,-2334,341,3234,2298,2219,2197,10345,5349,2741,1615,9985,4128,2037,9914,1718,11646,15023,16902,
投资收益(万元),308,177,60,280,262,390,180,376,150,21,18,-11,-166,-54,7,53,51,--,1,
营业外收支净额(万元),35,77,10,58,79,71,40,-200,519,421,-17,235,210,237,348,-20,481,326,386,
利润总额(万元),-771,-2257,352,3293,2377,2290,2237,10145,5868,3162,1598,10220,4337,2274,10261,1698,12127,15349,17288,
净利润(万元),-78,-1627,467,3836,2090,1793,1665,8364,4508,2524,1280,7562,3329,1909,7512,1144,8247,11222,12606,
净利润(扣除非经常性损益后)(万元),-900,-2192,213,2358,847,825,1440,7464,4107,2199,1252,7392,3183,1735,7178,--,7888,--,--,
经营活动产生的现金流量净额(万元),6623,-1473,900,-2480,-10444,-3395,4740,2315,1111,1142,5917,10575,8074,2769,7546,3585,12121,9146,12242,
现金及现金等价物净增加额(万元),-2383,4533,2480,-2833,-6333,2333,-6166,4480,-2065,12353,5058,4169,-522,-1159,-540,2809,-1552,-8143,-4821,
总资产(万元),117493,115697,119767,128092,122291,114151,114270,113693,109282,111577,--,72775,--,--,67940,62385,62238,60867,58376,
流动资产(万元),76740,75042,78955,86993,82325,79396,81157,82093,79423,82728,--,45140,--,--,41437,39132,38761,37384,45929,
总负债(万元),27280,26807,26160,34627,29416,21550,19169,20335,18890,23207,--,23566,--,--,23449,17527,18580,23948,29731,
流动负债(万元),24849,25103,23511,31001,26415,19036,15416,16489,15596,21162,--,19609,--,--,19909,14683,15172,21092,27182,
股东权益不含少数股东权益(万元),92032,90449,94852,94472,93391,92805,95078,93353,89927,87906,--,48349,--,--,43980,44247,43162,36612,28614,
净资产收益率加权(%),-0.08,-1.75,0.49,4.09,2.23,1.9,1.77,11.32,6.73,4.54,2.61,16.49,7.56,4.3,17.47,2.62,20.6,34.98,34.82,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		